document_id,field,value
OFF-KOBELCO-PB-86R2,length_m,4.7
OFF-KOBELCO-PB-86R2,width_m,5.0
OFF-KOBELCO-PB-86R2,height_m,5.0
OFF-KOBELCO-PB-86R2,paint_type,liquid
OFF-KOBELCO-PB-86R2,booth_type,dry type cross draft
OFF-KOBELCO-PB-86R2,painting_method,manual
OFF-KOBELCO-PB-86R2,material_handling,motorized trolley
OFF-KOBELCO-PB-86R2,job_size_m,3.6 x 2.6 x 3.1 including trolley
OFF-RABWIN-PB-437R1,length_m,2.25
OFF-RABWIN-PB-437R1,width_m,2.25
OFF-RABWIN-PB-437R1,height_m,3.1
OFF-RABWIN-PB-437R1,paint_type,liquid
OFF-RABWIN-PB-437R1,item,iron casting
OFF-RABWIN-PB-437R1,booth_type,dry type cross draft
OFF-RABWIN-PB-437R1,material_handling,I-beam manual push-pull
OFF-SEPL-PB-289R1,length_m,1.5
OFF-SEPL-PB-289R1,width_m,1.5
OFF-SEPL-PB-289R1,height_m,2.425
OFF-SEPL-PB-289R1,paint_type,liquid
OFF-SEPL-PB-289R1,booth_type,dry type cross draft (batch)
OFF-SEENIVASAN-PB-204R2,length_m,3.0
OFF-SEENIVASAN-PB-204R2,width_m,2.25
OFF-SEENIVASAN-PB-204R2,height_m,2.4
OFF-SEENIVASAN-PB-204R2,paint_type,PU
OFF-SEENIVASAN-PB-204R2,booth_type,dry type cross draft
OFF-STMSPA-PB-349R1,length_m,1.2
OFF-STMSPA-PB-349R1,width_m,2.1
OFF-STMSPA-PB-349R1,height_m,2.0
OFF-STMSPA-PB-349R1,paint_type,PU
OFF-STMSPA-PB-349R1,booth_type,dry type cross draft
OFF-SYNERGY-PB-209R3,length_m,7.5
OFF-SYNERGY-PB-209R3,width_m,4.0
OFF-SYNERGY-PB-209R3,height_m,3.5
OFF-SYNERGY-PB-209R3,paint_type,liquid
OFF-SYNERGY-PB-209R3,booth_type,dry type cross side draft (batch)
OFF-SYNERGY-PB-209R3,painting_method,manual
OFF-VALV-PB-133R6,length_m,3.0
OFF-VALV-PB-133R6,width_m,3.0
OFF-VALV-PB-133R6,height_m,2.9
OFF-VALV-PB-133R6,paint_type,liquid
OFF-VALV-PB-133R6,booth_type,dry type cross draft
OFF-VALV-PB-133R6,component_size_mm,600 x 600 x 1200
OFF-YONEX-PB-367,length_m,0.9
OFF-YONEX-PB-367,width_m,0.92
OFF-YONEX-PB-367,height_m,2.0
OFF-YONEX-PB-367,paint_type,liquid
OFF-YONEX-PB-367,booth_type,water wall (AGL type)
OFF-ONLOAD-PCP-346R2,floor_space_m,17.5 x 6
OFF-ONLOAD-PCP-346R2,max_component_size_mm,1790 L x 1215 W x 1380 H
OFF-ONLOAD-PCP-346R2,max_component_weight_kg,540
OFF-ONLOAD-PCP-346R2,qty_per_shift,10
OFF-ONLOAD-PCP-346R2,colours_used,3
OFF-ONLOAD-PCP-346R2,baking_temp_c,180
OFF-ONLOAD-PCP-346R2,baking_time_min,20
OFF-ONLOAD-PCP-346R2,standalone_booth_size_m,6.5 W x 8 D
OFF-C2C-WS-178,air_volume_cfm,735
OFF-C2C-WS-178,air_volume_cmh,1250
OFF-C2C-WS-178,operating_temp,ambient
OFF-C2C-WS-178,tower_diameter_mm,700
OFF-C2C-WS-178,blower_mounting,direct drive - above the scrubber
OFF-C2C-WS-178,qty,1
OFF-C2C-WS-20240921R1,air_volume_cfm,900
OFF-C2C-WS-20240921R1,air_volume_cmh,1530
OFF-C2C-WS-20240921R1,operating_temp,ambient
OFF-C2C-WS-20240921R1,operating_pressure,atmospheric
OFF-C2C-WS-20240921R1,nature_of_powder,hygroscopic
OFF-C2C-WS-20240921R1,recirculation_pump_m3hr,5
OFF-C2C-WS-20240921R1,qty,2
OFF-OREN-WS-192,fluid,water
OFF-OREN-WS-192,air_volume_cfm,2300
OFF-OREN-WS-192,air_volume_cmh,4000
OFF-OREN-WS-192,operating_temp,80C
OFF-OREN-WS-192,tower_diameter_mm,1000
OFF-OREN-WS-192,blower_mounting,mounting on top side
OFF-OREN-WS-192,qty,1
OFF-MECCA-WS-164,item_to_exhaust,oven fumes
OFF-MECCA-WS-164,air_volume_cmh,6100
OFF-MECCA-WS-164,qty,2
OFF-GROWEL-WS-190,item_to_exhaust,paint solvent vapor
OFF-GROWEL-WS-190,air_volume_cfm,7000
OFF-GROWEL-WS-190,duct_velocity_ms,12-15
OFF-GROWEL-WS-190,no_of_suction_points,19
